R,HF,FCI,CISD,DM_sto-4g
1.0,-7.833649920126036,-7.850818869373225,-7.850810308809967,4.821239366897545
1.02020202020202,-7.843413703781666,-7.860495799081011,-7.860487289000297,4.819834779245987
1.0404040404040404,-7.852414655611754,-7.869421131485816,-7.869412646999341,4.81894521861926
1.0606060606060606,-7.860701768966099,-7.8776444285958975,-7.87763594644189,4.818490814084688
1.0808080808080809,-7.868320640947384,-7.885211787051193,-7.885203285529544,4.818408097498329
1.101010101010101,-7.875313712021248,-7.892166082003722,-7.8921575409268385,4.818647681226839
1.121212121212121,-7.881720491910489,-7.898547197601893,-7.898538598248022,4.819172167645913
1.1414141414141414,-7.8875777719911,-7.904392244233228,-7.904383569294706,4.819954272624139
1.1616161616161615,-7.892919824329243,-7.909735762589942,-7.9097269961123455,4.820975147348063
1.1818181818181819,-7.897778587526649,-7.914609914642045,-7.91460104195301,4.822222884294658
1.202020202020202,-7.902183839629467,-7.919044661688117,-7.919035669316112,4.823691194121946
1.2222222222222223,-7.906163358471293,-7.923067929772163,-7.923058805356582,4.825378240915793
1.2424242424242424,-7.909743069936036,-7.926705762877093,-7.926696495071369,4.827285623735846
1.2626262626262625,-7.9129471847286075,-7.929982464418287,-7.929973042825759,4.8294134159363775
1.2828282828282829,-7.915798324327424,-7.932920727653526,-7.932911142613208,4.831774824948914
1.303030303030303,-7.918317636831108,-7.935541755691374,-7.935531998273724,4.834374074834667
1.3232323232323233,-7.920524903463021,-7.937865371821576,-7.937855433691885,4.837219184131691
1.3434343434343434,-7.922438636480441,-7.939910120906516,-7.9398999942230795,4.84031824119391
1.3636363636363638,-7.924076169230374,-7.9416933625671104,-7.941683039884348,4.843678633014626
1.3838383838383839,-7.9254537390596465,-7.943231356873703,-7.943220831047485,4.847306719161438
1.404040404040404,-7.926586563740815,-7.944539343215111,-7.944528607308113,4.851208183305056
1.4242424242424243,-7.927488912024817,-7.945631612973626,-7.945620660164893,4.8553881949986275
1.4444444444444444,-7.928174168876109,-7.9465215765814685,-7.946510400083416,4.859851095743865
1.4646464646464648,-7.928654895889667,-7.947221825480827,-7.947210418462909,4.864600080015043
1.4848484848484849,-7.92894288733242,-7.947744189454264,-7.947732544994413,4.869633676015227
1.5050505050505052,-7.929049222196792,-7.948099789741303,-7.948087900692202,4.87495915595061
1.5252525252525253,-7.928984312615505,-7.948299088307753,-7.94828694730456,4.8805725292941515
1.5454545454545454,-7.928757948926696,-7.948351933590162,-7.948339532970557,4.886471794575374
1.5656565656565657,-7.928379341656941,-7.948267602998133,-7.948254934749918,4.892653734596295
1.5858585858585859,-7.927857160647424,-7.9480548424232165,-7.948041898136037,4.899113962193396
1.606060606060606,-7.9271995715238,-7.947721902973529,-7.947708673794215,4.905846974880772
1.6262626262626263,-7.926414269687169,-7.947276575127934,-7.94726305171929,4.912846215612305
1.6464646464646466,-7.925508511985068,-7.946726220483786,-7.946712392986454,4.920104137377489
1.6666666666666667,-7.924489146205735,-7.94607780125431,-7.946063659251363,4.927612269646562
1.6868686868686869,-7.92336263852779,-7.945337907658702,-7.945323440142693,4.935361285105325
1.7070707070707072,-7.922135099047531,-7.944512783336315,-7.94449797867848,4.9433410653747245
1.7272727272727273,-7.920812305498652,-7.943608348907221,-7.943593194828601,4.951540764712634
1.7474747474747474,-7.919399725273284,-7.942630223793942,-7.942614707338209,4.959948870947368
1.7676767676767677,-7.917902535848777,-7.941583746413281,-7.94156785392098,4.968553263112973
1.787878787878788,-7.916325643719842,-7.940473992840856,-7.940457709924977,4.977341265420367
1.8080808080808082,-7.914673701932838,-7.939305794047062,-7.939289105569749,4.986299697382561
1.8282828282828283,-7.912951126314878,-7.938083751797903,-7.938066641848184,4.995414920040116
1.8484848484848486,-7.9111621104878,-7.9368122533103564,-7.9367947051828605,5.0046728783057945
1.8686868686868687,-7.909310639753024,-7.9354954847472845,-7.935477480921825,5.014059139598635
1.8888888888888888,-7.907400503930299,-7.93413744363262,-7.934118965754729,5.023558928917662
1.9090909090909092,-7.9054353092297065,-7.932741950263694,-7.932722979126023,5.033157160641302
1.9292929292929295,-7.9034184892319725,-7.931312658191986,-7.931293173725373,5.042838467286407
1.9494949494949496,-7.901353315048817,-7.929853063840391,-7.929833045072534,5.052587225569808
1.9696969696969697,-7.899242904730459,-7.92836651531929,-7.928345940383662,5.062387580010263
1.98989898989899,-7.897090231983471,-7.926856220499852,-7.926835066614232,5.072223464452822
2.0101010101010104,-7.894898134257965,-7.92532525439836,-7.92530349785285,5.0820786217647065
2.0303030303030303,-7.89266932025862,-7.92377656592057,-7.923754182067621,5.091936622005059
2.0505050505050506,-7.890406376930036,-7.922212984010988,-7.922189947257823,5.101780879354005
2.070707070707071,-7.888111775962795,-7.920637223248079,-7.920613507051813,5.111594668059207
2.090909090909091,-7.885787879862433,-7.919051888922019,-7.919027465788006,5.121361137641126
2.111111111111111,-7.883436947620232,-7.917459481628881,-7.917434323112697,5.1310633275720505
2.1313131313131315,-7.881061140020275,-7.915862401410944,-7.915836478124596,5.140684181664017
2.1515151515151514,-7.878662524614718,-7.91426295147102,-7.914236233093895,5.15020656232086
2.1717171717171717,-7.876243080395299,-7.912663341485415,-7.912635796780639,5.159613264865618
2.191919191919192,-7.873804702186624,-7.911065690538881,-7.911037287375606,5.168887032057401
2.212121212121212,-7.871349204783836,-7.909472029702797,-7.909442735085198,5.178010568973095
2.2323232323232327,-7.868878326854793,-7.9078843042771805,-7.907854084380728,5.186966558377647
2.2525252525252526,-7.866393734624848,-7.906304375716435,-7.906273195932096,5.195737676695944
2.272727272727273,-7.863897025360031,-7.904734023258388,-7.904701848245406,5.204306610667799
2.2929292929292933,-7.86138973066277,-7.903174945276655,-7.903141739024477,5.212656074845101
2.313131313131313,-7.858873319592752,-7.901628760377066,-7.9015944862769345,5.220768829940298
2.3333333333333335,-7.856349201624007,-7.9000970082598085,-7.900061629186467,5.228627702151575
2.353535353535354,-7.8538187294480455,-7.898581150370374,-7.898544628774185,5.236215603510342
2.3737373737373737,-7.851283201631856,-7.89708257036392,-7.89704486837364,5.243515553309878
2.393939393939394,-7.848743865138696,-7.895602574409674,-7.895563653945884,5.250510700663375
2.4141414141414144,-7.846201917718602,-7.894142391363502,-7.894102214262596,5.257184348217342
2.4343434343434343,-7.843658510175162,-7.892703172839049,-7.8926617009874045,5.263519977054444
2.4545454545454546,-7.8411147485139985,-7.891285993208928,-7.89124318868674,5.269501272788474
2.474747474747475,-7.838571695978594,-7.8898918495696915,-7.889847674803703,5.275112152852321
2.494949494949495,-7.8360303749778675,-7.888521661704686,-7.8884760796287186,5.280336794957393
2.5151515151515156,-7.833491768910358,-7.88717627208012,-7.887129246302232,5.2851596666919605
2.5353535353535355,-7.8309568238888945,-7.885856445909327,-7.88580794088407,5.289565556201111
2.5555555555555554,-7.828426450369753,-7.8845628713198375,-7.884512852523946,5.293539603876939
2.575757575757576,-7.825901524689972,-7.883296159656507,-7.883244593766105,5.297067334953881
2.595959595959596,-7.823382890516351,-7.882056845951855,-7.882003701019153,5.300134692903022
2.6161616161616164,-7.8208713602095,-7.880845389591904,-7.88079063521919,5.302728073514565
2.6363636363636367,-7.818367716106127,-7.879662175202161,-7.879605782710793,5.304834359647318
2.6565656565656566,-7.815872711722879,-7.878507513774187,-7.878449456366385,5.3064409569373225
2.676767676767677,-7.813387072884498,-7.877381644047946,-7.877321896959099,5.307535831584198
2.6969696969696972,-7.8109114987796735,-7.876284734160236,-7.876223274799625,5.308107552917474
2.717171717171717,-7.80844666294729,-7.875216883563228,-7.875153691641206,5.308145344076785
2.7373737373737375,-7.805993214196037,-7.874178125211427,-7.8741131828510555,5.307639135545837
2.757575757575758,-7.803551777459482,-7.873168428009734,-7.873101719820163,5.306593731065571
2.7777777777777777,-7.801122954594772,-7.872187699509179,-7.872119212725805,5.304970333968844
2.7979797979797985,-7.798707325114073,-7.871235788831932,-7.871165513312385,5.3027765702434335
2.8181818181818183,-7.796305446870315,-7.870312489802274,-7.87024041808489,5.300005363286341
2.8383838383838382,-7.793917856685779,-7.869417544256484,-7.869343671578711,5.296650476309186
2.858585858585859,-7.791545070932907,-7.868550645500944,-7.868474969838955,5.292705395753563
2.878787878787879,-7.789187586064782,-7.867711441885663,-7.867633963820143,5.288171196441896
2.8989898989898992,-7.786845879108736,-7.866899540459176,-7.866820263245994,5.283040007477784
2.9191919191919196,-7.784520408111958,-7.866114510669617,-7.866033440150105,5.2773091688376965
2.9393939393939394,-7.782211612552277,-7.865355888077953,-7.865273032607236,5.270976976665144
2.95959595959596,-7.779919913712577,-7.864623178049548,-7.864538548410049,5.264042698994184
2.97979797979798,-7.777645715022685,-7.86391585939312,-7.86382946869516,5.256506589043814
3.0,-7.775389402370996,-7.863233387917422,-7.863145251488821,5.248369895395352
